dates,retention_rate
02/01/2018,0.120
02/02/2018,0.190
02/03/2018,0.250
02/04/2018,0.290
02/05/2018,0.330
02/06/2018,0.360
02/07/2018,0.390
02/08/2018,0.420
02/09/2018,0.440
02/10/2018,0.470
02/11/2018,0.480
02/12/2018,0.500
2/13/2018,0.520
2/14/2018,0.530
2/15/2018,0.530
2/16/2018,0.540
2/17/2018,0.550
2/18/2018,0.560
2/19/2018,0.570
2/20/2018,0.570
2/21/2018,0.580
2/22/2018,0.590
2/23/2018,0.600
2/24/2018,0.610
2/25/2018,0.620
2/26/2018,0.630
2/27/2018,0.640
2/28/2018,0.650
03/01/2018,0.100
03/02/2018,0.180
03/03/2018,0.240
03/04/2018,0.290
03/05/2018,0.330
03/06/2018,0.350
03/07/2018,0.380
03/08/2018,0.410
03/09/2018,0.430
03/10/2018,0.450
03/11/2018,0.470
03/12/2018,0.490
3/13/2018,0.500
3/14/2018,0.510
3/15/2018,0.520
3/16/2018,0.540
3/17/2018,0.550
3/18/2018,0.560
3/19/2018,0.570
3/20/2018,0.580
3/21/2018,0.590
3/22/2018,0.600
3/23/2018,0.600
3/24/2018,0.610
3/25/2018,0.620
3/26/2018,0.630
3/27/2018,0.630
3/28/2018,0.640
3/29/2018,0.640
3/30/2018,0.650
3/31/2018,0.660
04/01/2018,0.110
04/02/2018,0.170
04/03/2018,0.220
04/04/2018,0.280
04/05/2018,0.320
04/06/2018,0.350
04/07/2018,0.380
04/08/2018,0.400
04/09/2018,0.420
04/10/2018,0.440
04/11/2018,0.460
04/12/2018,0.470
4/13/2018,0.490
4/14/2018,0.510
4/15/2018,0.530
4/16/2018,0.540
4/17/2018,0.550
4/18/2018,0.560
4/19/2018,0.570
4/20/2018,0.580
4/21/2018,0.590
4/22/2018,0.600
4/23/2018,0.610
4/24/2018,0.620
4/25/2018,0.620
4/26/2018,0.630
4/27/2018,0.640
4/28/2018,0.650
4/29/2018,0.660
4/30/2018,0.670
05/01/2018,0.120
05/02/2018,0.190
05/03/2018,0.240
05/04/2018,0.280
05/05/2018,0.330
05/06/2018,0.360
05/07/2018,0.380
05/08/2018,0.400
05/09/2018,0.420
05/10/2018,0.440
05/11/2018,0.460
05/12/2018,0.490
5/13/2018,0.500
5/14/2018,0.520
5/15/2018,0.530
5/16/2018,0.540
5/17/2018,0.550
5/18/2018,0.560
5/19/2018,0.580
5/20/2018,0.590
5/21/2018,0.600
5/22/2018,0.600
5/23/2018,0.610
5/24/2018,0.620
5/25/2018,0.630
5/26/2018,0.630
5/27/2018,0.640
5/28/2018,0.650
5/29/2018,0.650
5/30/2018,0.660
5/31/2018,0.660
06/01/2018,0.120
06/02/2018,0.190
06/03/2018,0.240
06/04/2018,0.280
06/05/2018,0.310
06/06/2018,0.340
06/07/2018,0.360
06/08/2018,0.390
06/09/2018,0.420
06/10/2018,0.440
06/11/2018,0.460
06/12/2018,0.470
6/13/2018,0.490
6/14/2018,0.500
6/15/2018,0.520
6/16/2018,0.540
6/17/2018,0.550
6/18/2018,0.570
6/19/2018,0.580
6/20/2018,0.590
6/21/2018,0.600
6/22/2018,0.610
6/23/2018,0.620
6/24/2018,0.630
6/25/2018,0.630
6/26/2018,0.640
6/27/2018,0.650
6/28/2018,0.650
6/29/2018,0.660
6/30/2018,0.670
